TIME(s), FPS, ROOM SIZE, GENERATED ROOM, ARCHETYPE, GENERATION BIAS,PARENT,TREE LAYER
1.002704,56,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,null,0
1.002704,56,3.5x3.5,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x1 Square Archetype ,1
