TIME(s), ROOM SIZE, GENERATED ROOM, ARCHETYPE, GENERATION BIAS,PARENT,TREE LAYER
251.4888,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,15
251.8509,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x1 Square Archetype ,16
252.9534,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,15
253.2855,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,16
253.6518,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,17
254.0034,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,17
254.1921,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,18
254.544,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,18
254.7426,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x1 Square Archetype ,19
255.0909,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,20
255.6504,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,20
255.82,3x2,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,21
256.5435,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,21
256.8928,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,22
258.6928,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,21
259.0527,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,22
260.1489,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,21
260.4865,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,22
263.0128,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,19
263.5413,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,19
263.7485,3x2,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,20
264.4496,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,20
264.8004,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,21
265.1889,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,22
265.5426,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,22
265.7004,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,23
266.2455,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,23
266.4514,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,24
267.8909,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,24
268.2471,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,25
268.785,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,25
268.9516,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,26
269.4881,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,26
269.693,3x2,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,27
270.2047,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,27
270.3882,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,28
270.7432,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,29
271.4863,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,30
271.6562,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,31
272.181,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,31
272.4,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,32
272.7402,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,33
273.0882,3x2,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,33
273.985,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x1 Square Archetype ,34
276.1517,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,32
276.5134,3x2,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x3 Rectangle Archetype ,33
277.582,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,33
277.7838,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x1 Square Archetype ,34
279.2084,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,32
279.6,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,33
279.9527,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x1 Square Archetype ,34
280.2931,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,34
280.4842,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,35
282.2812,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,35
